"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 25 14:45:00 GMT 2023","Thu May 25 14:46:04 GMT 2023","63702","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditAllowConditions","Проверка отправки заявки без галочки ""Я согласен с условиями рассмотрения заявки""",""
"passed","Thu May 25 14:47:16 GMT 2023","Thu May 25 14:48:13 GMT 2023","57168","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsFalseFIO","Ввод на отдельной странице вклада в поле ""ФИО"" чисел и английских букв [2] Petr Petrov",""
"passed","Thu May 25 14:47:17 GMT 2023","Thu May 25 14:47:56 GMT 2023","39766","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTimeBig","Ввод в поле ""Срок вклада"" большое значение",""
"failed","Thu May 25 14:46:29 GMT 2023","Thu May 25 14:47:09 GMT 2023","39600","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditAllowCondition","Проверка необходимости согласия с условиями обработки персональных данных",""
"passed","Thu May 25 14:45:02 GMT 2023","Thu May 25 14:46:10 GMT 2023","68015","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [3] Petr Petrov",""
"passed","Thu May 25 14:44:52 GMT 2023","Thu May 25 14:45:00 GMT 2023","8072","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackTrue","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и телефон",""
"passed","Thu May 25 14:44:14 GMT 2023","Thu May 25 14:44:50 GMT 2023","35785","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInputOneNumberPhone","Ввод одной цифры в поле телефона",""
"passed","Thu May 25 14:47:16 GMT 2023","Thu May 25 14:48:12 GMT 2023","56021","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsOneCharFIO","Ввод на отдельной странице вклада в поле ""ФИО"" одной буквы",""
"passed","Thu May 25 14:47:16 GMT 2023","Thu May 25 14:48:13 GMT 2023","56894","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsOneNumberPhone","Ввод на отдельной странице вклада в поле ""Мобильный телефон"" одной цифры",""
"failed","Thu May 25 14:45:00 GMT 2023","Thu May 25 14:46:00 GMT 2023","60082","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditTimeBig","Ввод в поле ""Срок"" пробел",""
"failed","Thu May 25 14:47:17 GMT 2023","Thu May 25 14:48:19 GMT 2023","62849","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTrue","Заполнение и отправка формы на депозит на отдельной странице",""
"passed","Thu May 25 14:45:01 GMT 2023","Thu May 25 14:46:07 GMT 2023","65535","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseEmail","Ввод в поле ""Электронная почта"" одного символа",""
"passed","Thu May 25 14:44:20 GMT 2023","Thu May 25 14:44:52 GMT 2023","31573","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInput","Ввод кода, Отправка заявки с вводом правильного телефона - все девятки",""
"passed","Thu May 25 14:45:00 GMT 2023","Thu May 25 14:46:09 GMT 2023","68387","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseYoungBirthday","Ввод в поле ""Дата рождения"" - ""сегодняшяя дата ""-"" 2 года""",""
"passed","Thu May 25 14:47:16 GMT 2023","Thu May 25 14:48:10 GMT 2023","53238","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsCheckData","Проверка данных на странице с выбором вклада и на отдельной странице вклада",""
"passed","Thu May 25 14:48:20 GMT 2023","Thu May 25 14:48:28 GMT 2023","8289","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackOneNumber","Отправка заявки с вводом в поля по одной цифре",""
"passed","Thu May 25 14:45:02 GMT 2023","Thu May 25 14:46:09 GMT 2023","66581","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [1] .",""
"passed","Thu May 25 14:47:17 GMT 2023","Thu May 25 14:47:57 GMT 2023","40293","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsSumBig","Ввод в поле ""Сумма вклада"" большого числа",""
"passed","Thu May 25 14:48:19 GMT 2023","Thu May 25 14:48:29 GMT 2023","9495","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackRandom","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и ввода в поле телефон [2] 1000000000",""
"failed","Thu May 25 14:46:29 GMT 2023","Thu May 25 14:47:09 GMT 2023","39559","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseEmail","Ввод в поле электронная почта неверных данных [1] 0",""
"passed","Thu May 25 14:44:52 GMT 2023","Thu May 25 14:44:59 GMT 2023","6706","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackFalseData","Отправка заявки с вводом в поля по одной цифре",""
"failed","Thu May 25 14:46:30 GMT 2023","Thu May 25 14:47:08 GMT 2023","38716","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseFIO","Ввод в поле ""Контактное лицо"" чисел и английских букв [2] Petr Petrov",""
"passed","Thu May 25 14:45:00 GMT 2023","Thu May 25 14:46:02 GMT 2023","62013","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditSumBig","Ввод в поле ""Сумма"" большого числа",""
"passed","Thu May 25 14:47:16 GMT 2023","Thu May 25 14:47:53 GMT 2023","37240","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTimeSpace","Ввод пробела в поле ""Срок вклада""",""
"passed","Thu May 25 14:48:20 GMT 2023","Thu May 25 14:48:29 GMT 2023","9767","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackRandom","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и ввода в поле телефон [1] 1999999999",""
"passed","Thu May 25 14:45:01 GMT 2023","Thu May 25 14:46:09 GMT 2023","67781","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseOldBirthday","Ввод в поле ""Дата рождения"" - ""сегодняшяя дата ""-"" 80 лет""",""
"passed","Thu May 25 14:45:03 GMT 2023","Thu May 25 14:46:08 GMT 2023","64811","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [2] 0",""
"failed","Thu May 25 14:46:30 GMT 2023","Thu May 25 14:47:08 GMT 2023","38113","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseLongI","Ввод в поле ""Контактное лицо"" длинное имя",""
"passed","Thu May 25 14:48:19 GMT 2023","Thu May 25 14:48:26 GMT 2023","6876","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackEmpty","Отправка заявки с пустыми полями",""
"failed","Thu May 25 14:46:29 GMT 2023","Thu May 25 14:47:07 GMT 2023","38346","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditEmpty","Отправка заявки с пустыми полями",""
"failed","Thu May 25 14:46:29 GMT 2023","Thu May 25 14:47:09 GMT 2023","39821","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseEmail","Ввод в поле электронная почта неверных данных [2] Иван Иванович@m.r",""
"passed","Thu May 25 14:45:00 GMT 2023","Thu May 25 14:46:06 GMT 2023","65626","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditPhoneOneNumber","Ввод в поле ""Мобильный телефон"" одной цифры",""
"failed","Thu May 25 14:46:29 GMT 2023","Thu May 25 14:47:08 GMT 2023","39178","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseLongO","Ввод в поле ""Контактное лицо"" длинную фамилию",""
"failed","Thu May 25 14:45:00 GMT 2023","Thu May 25 14:46:00 GMT 2023","60273","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditTimeSpace","Ввод в поле ""Срок"" большого числа",""
"passed","Thu May 25 14:45:01 GMT 2023","Thu May 25 14:46:06 GMT 2023","65046","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditEmptyFields","Отправка заявки на кредит с пустыми полями",""
"passed","Thu May 25 14:47:16 GMT 2023","Thu May 25 14:48:13 GMT 2023","56129","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsFalseFIO","Ввод на отдельной странице вклада в поле ""ФИО"" чисел и английских букв [1] 0",""
"failed","Thu May 25 14:46:29 GMT 2023","Thu May 25 14:47:09 GMT 2023","40358","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditInnEmpty","Ввод в поле ИНН пробела",""
"passed","Thu May 25 14:47:17 GMT 2023","Thu May 25 14:47:52 GMT 2023","35578","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTimeButton","Нажать на кнопку с цифрой под полем ""Срок вклада""",""
"passed","Thu May 25 14:47:16 GMT 2023","Thu May 25 14:47:56 GMT 2023","39781","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTimeBetween","Ввод пробела в поле ""Срок вклада"" значение ""22"" - между 20 и 24",""
"passed","Thu May 25 14:45:01 GMT 2023","Thu May 25 14:46:14 GMT 2023","73651","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditTrue","Отправка заявки с корректными данными",""
"passed","Thu May 25 14:44:14 GMT 2023","Thu May 25 14:44:50 GMT 2023","35846","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInputFalsePhone","Ввод в поле телефона неправильного номера - все единицы",""
"failed","Thu May 25 14:46:29 GMT 2023","Thu May 25 14:47:08 GMT 2023","38443","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseFI","Ввод в поле ""Контактное лицо"" одной буквы",""
"passed","Thu May 25 14:45:01 GMT 2023","Thu May 25 14:46:29 GMT 2023","87755","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO2","Ввод в поле ""ФИО"" большого числа знаков:",""
"failed","Thu May 25 14:46:29 GMT 2023","Thu May 25 14:47:09 GMT 2023","39841","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseFIO","Ввод в поле ""Контактное лицо"" чисел и английских букв [1] 0",""
"passed","Thu May 25 14:46:29 GMT 2023","Thu May 25 14:47:13 GMT 2023","44099","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseLongF","Ввод в поле ""Контактное лицо"" длинную фамилию",""
"passed","Thu May 25 14:44:52 GMT 2023","Thu May 25 14:44:57 GMT 2023","5138","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackEmpty","Отправка заявки с пустыми полями",""
"passed","Thu May 25 14:47:17 GMT 2023","Thu May 25 14:47:54 GMT 2023","37560","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsSumSpace","Ввод пробела в поле ""Сумма вклада""",""
"passed","Thu May 25 14:45:00 GMT 2023","Thu May 25 14:46:04 GMT 2023","63838","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditSumSpace","Ввод пробела в поле ""Сумма""",""
"failed","Thu May 25 14:46:29 GMT 2023","Thu May 25 14:47:09 GMT 2023","39598","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditOneNumberPhone","Ввод в поле ""Мобильный телефон"" одной цифры",""
"passed","Thu May 25 14:46:29 GMT 2023","Thu May 25 14:47:16 GMT 2023","46948","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditTrue","Отправка заявки с корректными данными",""
"passed","Thu May 25 14:47:17 GMT 2023","Thu May 25 14:48:11 GMT 2023","54824","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsEmptyField","Проверка отправления заявки с пустыми полями",""
